33,Cat91,Prod1,834
40,Cat91,Prod1,1734
36,Cat91,Prod1,1234
53,Cat91,Prod1,2934
33,Cat91,Prod2,835
36,Cat91,Prod2,1235
53,Cat91,Prod2,2935
40,Cat91,Prod2,1735
34,Cat91,Prod1,1134
52,Cat91,Prod1,2634
37,Cat91,Prod1,1334
33,Cat91,Prod3,836
40,Cat91,Prod3,1736
36,Cat91,Prod3,1236
53,Cat91,Prod3,2936
34,Cat91,Prod2,1135
37,Cat91,Prod2,1335
53,Cat91,Prod4,2937
33,Cat91,Prod4,837
52,Cat91,Prod2,2635
40,Cat91,Prod4,1737
36,Cat91,Prod4,1237
34,Cat91,Prod3,1136
53,Cat91,Prod5,2938
37,Cat91,Prod3,1336
33,Cat91,Prod5,838
52,Cat91,Prod3,2636
36,Cat91,Prod5,1238
40,Cat91,Prod5,1738
34,Cat91,Prod4,1137
37,Cat91,Prod4,1337
36,Cat91,Prod6,1239
40,Cat91,Prod6,1739
52,Cat91,Prod4,2637
53,Cat91,Prod6,2939
33,Cat91,Prod6,839
34,Cat91,Prod5,1138
40,Cat91,Prod7,1740
36,Cat91,Prod7,1240
37,Cat91,Prod5,1338
52,Cat91,Prod5,2638
53,Cat91,Prod7,2940
33,Cat91,Prod7,840
34,Cat91,Prod6,1139
33,Cat91,Prod8,841
40,Cat91,Prod8,1741
53,Cat91,Prod8,2941
37,Cat91,Prod6,1339
36,Cat91,Prod8,1241
52,Cat91,Prod6,2639
34,Cat91,Prod7,1140
40,Cat91,Prod9,1742
37,Cat91,Prod7,1340
36,Cat91,Prod9,1242
33,Cat91,Prod9,842
52,Cat91,Prod7,2640
53,Cat91,Prod9,2942
34,Cat91,Prod8,1141
53,Cat91,Prod10,2943
37,Cat91,Prod8,1341
52,Cat91,Prod8,2641
36,Cat91,Prod10,1243
40,Cat91,Prod10,1743
33,Cat91,Prod10,843
34,Cat91,Prod9,1142
53,Cat92,Prod1,2944
52,Cat91,Prod9,2642
36,Cat92,Prod1,1244
40,Cat92,Prod1,1744
37,Cat91,Prod9,1342
33,Cat92,Prod1,844
34,Cat91,Prod10,1143
53,Cat92,Prod2,2945
37,Cat91,Prod10,1343
36,Cat92,Prod2,1245
33,Cat92,Prod2,845
52,Cat91,Prod10,2643
40,Cat92,Prod2,1745
34,Cat92,Prod1,1144
53,Cat92,Prod3,2946
33,Cat92,Prod3,846
52,Cat92,Prod1,2644
40,Cat92,Prod3,1746
36,Cat92,Prod3,1246
37,Cat92,Prod1,1344
34,Cat92,Prod2,1145
53,Cat92,Prod4,2947
33,Cat92,Prod4,847
40,Cat92,Prod4,1747
52,Cat92,Prod2,2645
36,Cat92,Prod4,1247
37,Cat92,Prod2,1345
34,Cat92,Prod3,1146
52,Cat92,Prod3,2646
36,Cat92,Prod5,1248
37,Cat92,Prod3,1346
